Host,Datacenter,Cluster,Network Device,Driver,Speed,Duplex,MAC,Switch,Uplink port,PCI,WakeOn,VI SDK Server,VI SDK UUID
esx-prod05.corp.example,DC-East,Prod-Cluster,vmnic2,bnxtnet,25000,Full,b4:96:91:04:00:02,dvs-prod,uplink3,0000:3b:00.2,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,DC-East,Prod-Cluster,vmnic3,bnxtnet,25000,Full,b4:96:91:04:00:03,dvs-prod,uplink4,0000:3b:00.3,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,DC-East,Prod-Cluster,vmnic0,bnxtnet,25000,Full,b4:96:91:05:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,DC-East,Prod-Cluster,vmnic1,bnxtnet,25000,Full,b4:96:91:05:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,DC-East,Prod-Cluster,vmnic2,bnxtnet,25000,Full,b4:96:91:05:00:02,dvs-prod,uplink3,0000:3b:00.2,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,DC-East,Prod-Cluster,vmnic3,bnxtnet,25000,Full,b4:96:91:05:00:03,dvs-prod,uplink4,0000:3b:00.3,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev01.corp.example,DC-East,Dev-Cluster,vmnic0,i40en,10000,Full,b4:96:91:06:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev01.corp.example,DC-East,Dev-Cluster,vmnic1,i40en,10000,Full,b4:96:91:06:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev02.corp.example,DC-East,Dev-Cluster,vmnic0,i40en,10000,Full,b4:96:91:07:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev02.corp.example,DC-East,Dev-Cluster,vmnic1,i40en,0,,b4:96:91:07:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev03.corp.example,DC-East,Dev-Cluster,vmnic0,i40en,10000,Full,b4:96:91:08:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev03.corp.example,DC-East,Dev-Cluster,vmnic1,i40en,10000,Full,b4:96:91:08:00:01,dvs-prod,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt01.corp.example,DC-West,Mgmt-Cluster,vmnic0,i40en,10000,Full,b4:96:91:09:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt01.corp.example,DC-West,Mgmt-Cluster,vmnic1,i40en,10000,Full,b4:96:91:09:00:01,dvs-mgmt,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt02.corp.example,DC-West,Mgmt-Cluster,vmnic0,i40en,10000,Full,b4:96:91:0a:00:00,vSwitch0,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt02.corp.example,DC-West,Mgmt-Cluster,vmnic1,i40en,10000,Full,b4:96:91:0a:00:01,dvs-mgmt,uplink2,0000:3b:00.1,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dmz01.corp.example,DC-West,,vmnic0,i40en,1000,Full,b4:96:91:0b:00:00,vSwitch1,uplink1,0000:3b:00.0,False,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
