Name,Config status,Address,Accessible,Type,# VMs total,# VMs,Capacity MiB,Provisioned MiB,In Use MiB,Free MiB,Free %,SIOC enabled,SIOC Threshold,# Hosts,Hosts,Cluster name,Cluster capacity MiB,Cluster free space MiB,Block size,Max Blocks,# Extents,Major Version,Version,VMFS Upgradeable,MHA,URL,Object ID,VI SDK Server,VI SDK UUID
esx-prod02-local,green,,True,VMFS,1,1,419430,61440,29311,390118,93,False,30,1,esx-prod02.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/3b8faa1837f8a88b/,datastore-210,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03-local,green,,True,VMFS,0,0,419430,4404,4194,415235,99,False,30,1,esx-prod03.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/9a1de644815ef6d1/,datastore-211,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04-local,green,,True,VMFS,0,0,419430,4404,4194,415235,99,False,30,1,esx-prod04.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/8fadc1a606cb0fb3/,datastore-212,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05-local,green,,True,VMFS,1,1,419430,1075200,406847,12582,3,False,30,1,esx-prod05.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/b74d0fb132e70629/,datastore-213,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06-local,green,,True,VMFS,1,1,419430,81920,59649,359780,86,False,30,1,esx-prod06.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/b38a088ca65ed389/,datastore-214,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev01-local,green,,True,VMFS,0,0,419430,4404,4194,415235,99,False,30,1,esx-dev01.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/6b65a6a48b8148f6/,datastore-215,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev02-local,green,,True,VMFS,0,0,419430,4404,4194,415235,99,False,30,1,esx-dev02.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/72ff5d2a386ecbe0/,datastore-216,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dev03-local,green,,True,VMFS,0,0,419430,4404,4194,415235,99,False,30,1,esx-dev03.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/4737819096da1dac/,datastore-217,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt01-local,green,,True,VMFS,0,0,419430,4404,4194,415235,99,False,30,1,esx-mgmt01.corp.example,,,,1,,1,5,5.82,,,ds:///vmfs/volumes/de8a774bcf36d58b/,datastore-218,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-mgmt02-local,green,,True,VMFS,0,0,419430,4404,4194,415235,99,False,30,1,esx-mgmt02.corp.example,,,,1,,1,5,5.82,,,ds:///vmfs/volumes/c241330b01a9e71f/,datastore-219,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-dmz01-local,green,,True,VMFS,8,8,3670016,5212160,2348810,1321205,36,False,30,1,esx-dmz01.corp.example,,,,1,,1,6,6.82,,,ds:///vmfs/volumes/28df6ec4ce4a2bbd/,datastore-220,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
