VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
PRD-SVC-011,poweredOn,False,False,green,prd-svc-011.corp.example,connected,running,green,False,2026/06/28 23:08:00,,,,2022/12/23 18:29:00,,4,0,4096,571,1,2,573440,,,normal,,True,TRUE,10.10.110.15,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,577836,151824,151824,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,21,none,never,,[prod-vmfs-03] PRD-SVC-011/PRD-SVC-011.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1010,,42eb226387c5421eec24a3c5c754108f,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-012,poweredOn,False,False,green,prd-app-012.corp.example,connected,running,green,False,2026/07/19 01:52:00,,,,2021/03/01 06:42:00,,4,1,8192,508,1,1,40960,,,normal,,True,TRUE,10.10.100.15,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,49452,49152,49152,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,21,none,never,,[prod-vmfs-05] PRD-APP-012/PRD-APP-012.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,CentOS 7 (64-bit),CentOS Linux 7 (Core),,,vm-1011,,4214296cf26b4776913e4de2e0c53cb8,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-013,poweredOn,False,False,green,prd-svc-013.corp.example,connected,running,green,False,2026/06/23 12:44:00,,,,2020/07/25 09:46:00,,4,0,24576,3406,1,1,61440,,,normal,,True,TRUE,10.10.100.15,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,86316,86016,86016,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,10,none,never,,[prod-vmfs-02] PRD-SVC-013/PRD-SVC-013.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1012,,426c52c49b49bd26df57c59a8715a103,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-014,poweredOn,False,False,green,prd-web-014.corp.example,connected,running,green,False,2026/07/31 09:06:00,,,,2025/11/22 23:29:00,,12,7,131072,43565,1,3,2918400,,,normal,,True,,10.10.100.16,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,3049772,2454635,2454635,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,20,none,never,,[prod-vmfs-03] PRD-WEB-014/PRD-WEB-014.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1013,,421efa217394988f847fd9b4e64d1bcb,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-015,poweredOn,False,False,green,prd-ctx-015.corp.example,connected,running,green,False,2026/08/17 20:00:00,,,,2022/11/28 06:58:00,,2,0,2048,302,2,2,337920,,,normal,,True,TRUE,10.10.120.15,PG-Web-120,PG-Web-120,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,340268,154049,154049,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,11,none,never,,[prod-vmfs-03] PRD-CTX-015/PRD-CTX-015.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1014,,421141253a9bedd40f1259e0a18ff6b6,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-016,poweredOn,False,False,green,prd-web-016.corp.example,connected,running,green,False,2026/07/01 06:40:00,,,,2017/10/24 17:39:00,,2,7,24576,2824,1,1,40960,,,normal,,True,TRUE,10.10.100.17,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,65836,51438,51438,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,19,none,never,,[prod-vmfs-03] PRD-WEB-016/PRD-WEB-016.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,,,vm-1015,,4293829b922fe15ae1e3db63ef7ddc76,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-017,poweredOn,False,False,green,prd-fs-017.corp.example,connected,running,green,False,2026/08/13 22:32:00,,,,2019/04/14 13:24:00,,12,0,32768,11508,2,1,61440,,,normal,,True,TRUE,10.10.110.16,PG-DB-110,PG-App-100,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,94508,53740,53740,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,21,none,never,,[prod-vmfs-05] PRD-FS-017/PRD-FS-017.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1016,,42baa4b7dd2467ac778eedb3693dffbc,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-018,poweredOn,False,False,green,prd-app-018.corp.example,connected,running,green,False,2026/08/21 15:20:00,,,,2021/06/05 01:35:00,,2,0,8192,2207,1,1,61440,,,normal,,True,TRUE,10.10.120.17,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,69932,69632,69632,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,20,none,never,,[prod-vmfs-03] PRD-APP-018/PRD-APP-018.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),,,vm-1017,,426c006f23e2fcb472d8567d894a05e4,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-019,poweredOn,False,False,green,prd-app-019.corp.example,connected,running,green,False,2026/06/26 19:49:00,,,,2018/03/01 02:20:00,,8,7,8192,860,1,1,102400,,,normal,,True,TRUE,10.10.120.18,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,110892,40731,40731,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,10,none,never,,[prod-vmfs-03] PRD-APP-019/PRD-APP-019.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),,,vm-1018,,4203c72bd605e7708a63f881ffd0f9d5,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-020,poweredOn,False,False,green,prd-fs-020.corp.example,connected,notRunning,gray,False,2026/07/18 23:37:00,,,,2017/10/22 19:12:00,,4,2,2048,536,1,2,1085440,,,normal,,True,,10.10.100.19,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,1087788,1047297,1047297,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,11,none,never,,[prod-vmfs-03] PRD-FS-020/PRD-FS-020.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,,,vm-1019,,4243e45863f2ae24fc3d3348008d4127,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-021,poweredOn,False,False,green,prd-fs-021.corp.example,connected,running,green,False,2026/07/28 00:35:00,,,,2020/02/12 09:56:00,,8,0,131072,33823,1,2,266240,,,normal,,True,TRUE,10.10.100.20,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,397612,321188,321188,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,10,none,never,,[prod-vmfs-03] PRD-FS-021/PRD-FS-021.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,SUSE Linux Enterprise 15 (64-bit),SUSE Linux Enterprise Server 15 SP5,,,vm-1020,,4237bb3e4bf50b52309d258c27a0c3d7,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-022,poweredOn,False,False,green,prd-app-022.corp.example,connected,running,green,False,2026/06/04 21:45:00,,,,2020/12/01 06:36:00,,1,2,32768,7979,1,2,184320,,,normal,,True,TRUE,10.10.120.19,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,217388,217088,217088,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,21,none,never,,[prod-vmfs-03] PRD-APP-022/PRD-APP-022.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1021,,42284d8287f7e1fbda4bd9caeb5cf467,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-023,poweredOn,False,False,green,prd-app-023.corp.example,connected,running,green,False,2026/06/15 07:14:00,,,,2026/03/02 14:25:00,,12,0,16384,6361,1,3,501760,,,normal,,True,TRUE,10.10.120.20,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,518444,307029,307029,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,17,none,never,,[prod-vmfs-03] PRD-APP-023/PRD-APP-023.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,,,vm-1022,,423f07f891d63f78e3e9de99f10c718b,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-024,poweredOff,False,False,green,,connected,notRunning,gray,False,,,,,2022/03/05 04:48:00,,8,,16384,0,1,3,1228800,,,normal,,True,TRUE,,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,1245484,1135257,1135257,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,20,none,never,,[prod-vmfs-03] PRD-FS-024/PRD-FS-024.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Microsoft Windows Server 2016 (64-bit),,,,vm-1023,,42506e5ab758588dab73295b344a54b8,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-025,poweredOn,False,False,green,prd-web-025.corp.example,connected,notRunning,gray,False,2026/08/02 01:51:00,,,,2024/03/21 17:14:00,,2,2,2048,511,2,2,337920,,,normal,,True,TRUE,10.10.100.21,PG-App-100,PG-DB-110,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,340268,145843,145843,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,21,none,never,,[prod-vmfs-03] PRD-WEB-025/PRD-WEB-025.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1024,,4219985fff002d4d902059e4ff9ab5c2,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-026,poweredOn,False,False,green,prd-app-026.corp.example,connected,running,green,False,2026/08/03 02:01:00,,,,2017/07/24 12:57:00,,2,2,8192,884,2,3,512000,,,normal,,True,TRUE,10.10.120.21,PG-Web-120,PG-Web-120,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,520492,375946,375946,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,20,none,never,,[prod-vmfs-03] PRD-APP-026/PRD-APP-026.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,CentOS 7 (64-bit),CentOS Linux 7 (Core),,,vm-1025,,42b41b318b10550cd5704f32702cdd20,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-027,poweredOn,False,False,green,prd-app-027.corp.example,connected,running,green,False,2026/06/28 16:51:00,,,,2018/04/15 16:21:00,,4,1,65536,22503,1,1,40960,,,normal,,True,TRUE,10.10.120.23,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,106796,86132,86132,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,11,none,never,,[prod-vmfs-04] PRD-APP-027/PRD-APP-027.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),,,vm-1026,,421d8cbb43b409ef2260e70fe0ccedc5,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-028,poweredOn,False,False,green,prd-web-028.corp.example,connected,running,green,False,2026/07/02 08:47:00,,,,2026/01/16 06:50:00,,16,2,16384,2218,1,2,1126400,,,normal,,True,TRUE,10.10.100.22,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,1143084,409543,409543,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,19,none,never,,[prod-vmfs-03] PRD-WEB-028/PRD-WEB-028.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,,,vm-1027,,4281627c439472e6da587e8aa25d6b29,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-029,poweredOn,False,False,green,prd-fs-029.corp.example,connected,running,green,False,2026/07/13 22:27:00,,,,2021/10/25 16:30:00,,4,0,4096,333,1,2,133120,,,normal,,True,TRUE,10.10.120.24,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,137516,137216,137216,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,17,none,never,,[prod-vmfs-02] PRD-FS-029/PRD-FS-029.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1028,,42711c21bdc14f1f295d6fbf430f801d,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
