Host,Cluster,Datacenter,Datastore,Disk,Display name,Policy,Oper. State,Path 1,Path 1 state,Path 2,Path 2 state,Path 3,Path 3 state,Path 4,Path 4 state,Path 5,Path 5 state,Path 6,Path 6 state,Path 7,Path 7 state,Path 8,Path 8 state,vStorage,Queue depth,Vendor,Model,Revision,Level,Serial #,UUID,Object ID,VI SDK Server,VI SDK UUID
esx-prod03.corp.example,Prod-Cluster,DC-East,prod-vmfs-01,naa.600a098038303001,NETAPP Fibre Channel Disk (naa.600a098038303001),VMW_PSP_RR,ok,vmhba1:C0:T0:L1,active,vmhba2:C0:T0:L1,active,vmhba1:C0:T1:L1,standby,vmhba2:C0:T1:L1,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,Prod-Cluster,DC-East,prod-vmfs-02,naa.600a098038303002,NETAPP Fibre Channel Disk (naa.600a098038303002),VMW_PSP_RR,ok,vmhba1:C0:T0:L2,active,vmhba2:C0:T0:L2,active,vmhba1:C0:T1:L2,standby,vmhba2:C0:T1:L2,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,Prod-Cluster,DC-East,prod-vmfs-03,naa.600a098038303003,NETAPP Fibre Channel Disk (naa.600a098038303003),VMW_PSP_RR,ok,vmhba1:C0:T0:L3,active,vmhba2:C0:T0:L3,active,vmhba1:C0:T1:L3,standby,vmhba2:C0:T1:L3,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,Prod-Cluster,DC-East,prod-vmfs-04,naa.600a098038303004,NETAPP Fibre Channel Disk (naa.600a098038303004),VMW_PSP_RR,ok,vmhba1:C0:T0:L4,active,vmhba2:C0:T0:L4,active,vmhba1:C0:T1:L4,standby,vmhba2:C0:T1:L4,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod03.corp.example,Prod-Cluster,DC-East,prod-vmfs-05,naa.600a098038303005,NETAPP Fibre Channel Disk (naa.600a098038303005),VMW_PSP_RR,ok,vmhba1:C0:T0:L5,active,vmhba2:C0:T0:L5,active,vmhba1:C0:T1:L5,standby,vmhba2:C0:T1:L5,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,Prod-Cluster,DC-East,prod-vmfs-01,naa.600a098038303001,NETAPP Fibre Channel Disk (naa.600a098038303001),VMW_PSP_RR,ok,vmhba1:C0:T0:L1,active,vmhba2:C0:T0:L1,active,vmhba1:C0:T1:L1,standby,vmhba2:C0:T1:L1,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,Prod-Cluster,DC-East,prod-vmfs-02,naa.600a098038303002,NETAPP Fibre Channel Disk (naa.600a098038303002),VMW_PSP_RR,ok,vmhba1:C0:T0:L2,active,vmhba2:C0:T0:L2,active,vmhba1:C0:T1:L2,standby,vmhba2:C0:T1:L2,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,Prod-Cluster,DC-East,prod-vmfs-03,naa.600a098038303003,NETAPP Fibre Channel Disk (naa.600a098038303003),VMW_PSP_RR,ok,vmhba1:C0:T0:L3,active,vmhba2:C0:T0:L3,active,vmhba1:C0:T1:L3,standby,vmhba2:C0:T1:L3,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,Prod-Cluster,DC-East,prod-vmfs-04,naa.600a098038303004,NETAPP Fibre Channel Disk (naa.600a098038303004),VMW_PSP_RR,ok,vmhba1:C0:T0:L4,active,vmhba2:C0:T0:L4,active,vmhba1:C0:T1:L4,standby,vmhba2:C0:T1:L4,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod04.corp.example,Prod-Cluster,DC-East,prod-vmfs-05,naa.600a098038303005,NETAPP Fibre Channel Disk (naa.600a098038303005),VMW_PSP_RR,ok,vmhba1:C0:T0:L5,active,vmhba2:C0:T0:L5,active,vmhba1:C0:T1:L5,standby,vmhba2:C0:T1:L5,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,Prod-Cluster,DC-East,prod-vmfs-01,naa.600a098038303001,NETAPP Fibre Channel Disk (naa.600a098038303001),VMW_PSP_RR,ok,vmhba1:C0:T0:L1,active,vmhba2:C0:T0:L1,active,vmhba1:C0:T1:L1,standby,vmhba2:C0:T1:L1,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,Prod-Cluster,DC-East,prod-vmfs-02,naa.600a098038303002,NETAPP Fibre Channel Disk (naa.600a098038303002),VMW_PSP_RR,ok,vmhba1:C0:T0:L2,active,vmhba2:C0:T0:L2,active,vmhba1:C0:T1:L2,standby,vmhba2:C0:T1:L2,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,Prod-Cluster,DC-East,prod-vmfs-03,naa.600a098038303003,NETAPP Fibre Channel Disk (naa.600a098038303003),VMW_PSP_RR,ok,vmhba1:C0:T0:L3,active,vmhba2:C0:T0:L3,active,vmhba1:C0:T1:L3,standby,vmhba2:C0:T1:L3,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,Prod-Cluster,DC-East,prod-vmfs-04,naa.600a098038303004,NETAPP Fibre Channel Disk (naa.600a098038303004),VMW_PSP_RR,ok,vmhba1:C0:T0:L4,active,vmhba2:C0:T0:L4,active,vmhba1:C0:T1:L4,standby,vmhba2:C0:T1:L4,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod05.corp.example,Prod-Cluster,DC-East,prod-vmfs-05,naa.600a098038303005,NETAPP Fibre Channel Disk (naa.600a098038303005),VMW_PSP_RR,ok,vmhba1:C0:T0:L5,active,vmhba2:C0:T0:L5,active,vmhba1:C0:T1:L5,standby,vmhba2:C0:T1:L5,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,Prod-Cluster,DC-East,prod-vmfs-01,naa.600a098038303001,NETAPP Fibre Channel Disk (naa.600a098038303001),VMW_PSP_RR,ok,vmhba1:C0:T0:L1,active,vmhba2:C0:T0:L1,active,vmhba1:C0:T1:L1,standby,vmhba2:C0:T1:L1,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,Prod-Cluster,DC-East,prod-vmfs-02,naa.600a098038303002,NETAPP Fibre Channel Disk (naa.600a098038303002),VMW_PSP_RR,ok,vmhba1:C0:T0:L2,active,vmhba2:C0:T0:L2,active,vmhba1:C0:T1:L2,standby,vmhba2:C0:T1:L2,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,Prod-Cluster,DC-East,prod-vmfs-03,naa.600a098038303003,NETAPP Fibre Channel Disk (naa.600a098038303003),VMW_PSP_RR,ok,vmhba1:C0:T0:L3,active,vmhba2:C0:T0:L3,active,vmhba1:C0:T1:L3,standby,vmhba2:C0:T1:L3,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,Prod-Cluster,DC-East,prod-vmfs-04,naa.600a098038303004,NETAPP Fibre Channel Disk (naa.600a098038303004),VMW_PSP_RR,ok,vmhba1:C0:T0:L4,active,vmhba2:C0:T0:L4,active,vmhba1:C0:T1:L4,standby,vmhba2:C0:T1:L4,standby,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
esx-prod06.corp.example,Prod-Cluster,DC-East,prod-vmfs-05,naa.600a098038303005,NETAPP Fibre Channel Disk (naa.600a098038303005),VMW_PSP_RR,ok,vmhba1:C0:T0:L5,active,,,,,,,,,,,,,,,supported,64,NETAPP,LUN C-Mode,9800,SPC-4,,,,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
