VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
PRD-WEB-006,poweredOn,False,False,Hard disk 1,2000,6000C2926831429e58c714f2a3aa1839,[prod-vmfs-02] PRD-WEB-006/PRD-WEB-006.vmdk,61440,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-02] PRD-WEB-006/PRD-WEB-006.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1005,42ea1fcae27a984d654821d07fcd9eb1,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-007,poweredOn,False,False,Hard disk 1,2000,6000C29adc9eec0b8a09c8b4c0f2b34e,[prod-vmfs-04] PRD-WEB-007/PRD-WEB-007.vmdk,81920,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-04] PRD-WEB-007/PRD-WEB-007.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1006,423825675cabcc97663f1c97956269f0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-007,poweredOn,False,False,Hard disk 2,2001,6000C29e81a0578257ec95f30af20a23,[prod-vmfs-03] PRD-WEB-007/PRD-WEB-007_1.vmdk,256000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 2,0:1,1,noSharing,[prod-vmfs-03] PRD-WEB-007/PRD-WEB-007_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1006,423825675cabcc97663f1c97956269f0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,Hard disk 1,2000,6000C29a8cea3275ef3bbcb5413524d3,[prod-vmfs-03] PRD-APP-008/PRD-APP-008.vmdk,40960,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-APP-008/PRD-APP-008.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1007,4210435a98ae43346c12ace8ae340454,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,Hard disk 2,2001,6000C29baf1b53163a0e681bbd5db7a4,[prod-vmfs-03] PRD-APP-008/PRD-APP-008_1.vmdk,1024000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic,Hard disk 2,0:1,1,noSharing,[prod-vmfs-03] PRD-APP-008/PRD-APP-008_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1007,4210435a98ae43346c12ace8ae340454,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,Hard disk 3,2002,6000C29b535322bf1dee8ebf7d3ae67e,[prod-vmfs-03] PRD-APP-008/PRD-APP-008_2.vmdk,2048000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic,Hard disk 3,0:2,2,noSharing,[prod-vmfs-03] PRD-APP-008/PRD-APP-008_2.vmdk,,,2,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1007,4210435a98ae43346c12ace8ae340454,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-009,poweredOn,False,False,Hard disk 1,2000,6000C294f33a72c8b1e76ab9127c22f0,[prod-vmfs-04] PRD-WEB-009/PRD-WEB-009.vmdk,61440,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-04] PRD-WEB-009/PRD-WEB-009.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1008,42c039878976e334e2817efdae849217,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-009,poweredOn,False,False,Hard disk 2,2001,6000C293d34266c94d88136e67f778de,[prod-vmfs-04] PRD-WEB-009/PRD-WEB-009_1.vmdk,512000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 2,0:1,1,noSharing,[prod-vmfs-04] PRD-WEB-009/PRD-WEB-009_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1008,42c039878976e334e2817efdae849217,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-010,poweredOff,False,False,Hard disk 1,2000,6000C29657d9f6474cdaebf498f9bfb4,[prod-vmfs-04] PRD-WEB-010/PRD-WEB-010.vmdk,61440,False,independent_persistent,sharingNone,False,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-04] PRD-WEB-010/PRD-WEB-010.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),,vm-1009,42e9a1fa81f76d1c2dbc2134c30ff46e,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-010,poweredOff,False,False,Hard disk 2,2001,6000C2999e87ad6d6db3bda54dc4f59c,[prod-vmfs-04] PRD-WEB-010/PRD-WEB-010_1.vmdk,1024000,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 2,0:1,1,noSharing,[prod-vmfs-04] PRD-WEB-010/PRD-WEB-010_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),,vm-1009,42e9a1fa81f76d1c2dbc2134c30ff46e,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-011,poweredOn,False,False,Hard disk 1,2000,6000C29ff2f9ade159debc39e171582b,[prod-vmfs-03] PRD-SVC-011/PRD-SVC-011.vmdk,61440,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-SVC-011/PRD-SVC-011.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1010,42eb226387c5421eec24a3c5c754108f,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-011,poweredOn,False,False,Hard disk 2,2001,6000C2906145897206fef9eafea09deb,[prod-vmfs-03] PRD-SVC-011/PRD-SVC-011_1.vmdk,512000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 2,0:1,1,noSharing,[prod-vmfs-03] PRD-SVC-011/PRD-SVC-011_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1010,42eb226387c5421eec24a3c5c754108f,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-012,poweredOn,False,False,Hard disk 1,2000,6000C29adcdb002197eaf79c20ddc8b1,[prod-vmfs-05] PRD-APP-012/PRD-APP-012.vmdk,40960,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-05] PRD-APP-012/PRD-APP-012.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1011,4214296cf26b4776913e4de2e0c53cb8,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-013,poweredOn,False,False,Hard disk 1,2000,6000C2940a3169f729a9bbf0da8295a0,[prod-vmfs-02] PRD-SVC-013/PRD-SVC-013.vmdk,61440,False,persistent,sharingNone,False,True,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-02] PRD-SVC-013/PRD-SVC-013.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1012,426c52c49b49bd26df57c59a8715a103,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-014,poweredOn,False,False,Hard disk 1,2000,6000C297d87534bf9564d4c1aedb4262,[prod-vmfs-03] PRD-WEB-014/PRD-WEB-014.vmdk,102400,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-WEB-014/PRD-WEB-014.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1013,421efa217394988f847fd9b4e64d1bcb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-014,poweredOn,False,False,Hard disk 2,2001,6000C29fb36651c5cef483f671d5a861,[prod-vmfs-01] PRD-WEB-014/PRD-WEB-014_1.vmdk,768000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 2,0:1,1,noSharing,[prod-vmfs-01] PRD-WEB-014/PRD-WEB-014_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1013,421efa217394988f847fd9b4e64d1bcb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-014,poweredOn,False,False,Hard disk 3,2002,6000C29223a2f59c2a184cbc19fe6052,[prod-vmfs-03] PRD-WEB-014/PRD-WEB-014_2.vmdk,2048000,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 3,0:2,2,noSharing,[prod-vmfs-03] PRD-WEB-014/PRD-WEB-014_2.vmdk,,,2,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1013,421efa217394988f847fd9b4e64d1bcb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-015,poweredOn,False,False,Hard disk 1,2000,6000C2975b8e76fdaa29ee4cf2db83c8,[prod-vmfs-03] PRD-CTX-015/PRD-CTX-015.vmdk,81920,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-CTX-015/PRD-CTX-015.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1014,421141253a9bedd40f1259e0a18ff6b6,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-015,poweredOn,False,False,Hard disk 2,2001,6000C29ee81800643e447305eb55920d,[prod-vmfs-05] PRD-CTX-015/PRD-CTX-015_1.vmdk,256000,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 2,0:1,1,noSharing,[prod-vmfs-05] PRD-CTX-015/PRD-CTX-015_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1014,421141253a9bedd40f1259e0a18ff6b6,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-016,poweredOn,False,False,Hard disk 1,2000,6000C2980f5bc40c5f321f6d02dd95c2,[prod-vmfs-03] PRD-WEB-016/PRD-WEB-016.vmdk,40960,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-WEB-016/PRD-WEB-016.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1015,4293829b922fe15ae1e3db63ef7ddc76,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-017,poweredOn,False,False,Hard disk 1,2000,6000C29aa22646f58d938a78634aa1a4,[prod-vmfs-05] PRD-FS-017/PRD-FS-017.vmdk,61440,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-05] PRD-FS-017/PRD-FS-017.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1016,42baa4b7dd2467ac778eedb3693dffbc,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-018,poweredOn,False,False,Hard disk 1,2000,6000C29c520b7950dee4254b0afc13fb,[prod-vmfs-03] PRD-APP-018/PRD-APP-018.vmdk,61440,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-APP-018/PRD-APP-018.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),vm-1017,426c006f23e2fcb472d8567d894a05e4,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-019,poweredOn,False,False,Hard disk 1,2000,6000C29810fb436c6ad5401e07e9fb0b,[prod-vmfs-03] PRD-APP-019/PRD-APP-019.vmdk,102400,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-APP-019/PRD-APP-019.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1018,4203c72bd605e7708a63f881ffd0f9d5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-020,poweredOn,False,False,Hard disk 1,2000,6000C29bd6e9fa04df044782c1e62068,[prod-vmfs-03] PRD-FS-020/PRD-FS-020.vmdk,61440,False,independent_persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-FS-020/PRD-FS-020.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1019,4243e45863f2ae24fc3d3348008d4127,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-020,poweredOn,False,False,Hard disk 2,2001,6000C299aea398c6ec677b258f6875a3,[prod-vmfs-03] PRD-FS-020/PRD-FS-020_1.vmdk,1024000,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 2,0:1,1,noSharing,[prod-vmfs-03] PRD-FS-020/PRD-FS-020_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1019,4243e45863f2ae24fc3d3348008d4127,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-021,poweredOn,False,False,Hard disk 1,2000,6000C294f8eb51b85938297130f6d8b6,[prod-vmfs-03] PRD-FS-021/PRD-FS-021.vmdk,61440,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-FS-021/PRD-FS-021.vmdk,,,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,SUSE Linux Enterprise 15 (64-bit),SUSE Linux Enterprise Server 15 SP5,vm-1020,4237bb3e4bf50b52309d258c27a0c3d7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-021,poweredOn,False,False,Hard disk 2,2001,6000C296ad14e5bf848622e355c275e2,[prod-vmfs-03] PRD-FS-021/PRD-FS-021_1.vmdk,204800,False,persistent,sharingNone,True,False,False,False,normal,1000,0,-1,VMware paravirtual SCSI,Hard disk 2,0:1,1,noSharing,[prod-vmfs-03] PRD-FS-021/PRD-FS-021_1.vmdk,,,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,SUSE Linux Enterprise 15 (64-bit),SUSE Linux Enterprise Server 15 SP5,vm-1020,4237bb3e4bf50b52309d258c27a0c3d7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-022,poweredOn,False,False,Hard disk 1,2000,6000C29c991f210234aaf8d43f3d2b89,[prod-vmfs-03] PRD-APP-022/PRD-APP-022.vmdk,81920,False,persistent,sharingNone,False,True,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 1,0:0,0,noSharing,[prod-vmfs-03] PRD-APP-022/PRD-APP-022.vmdk,,,0,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1021,42284d8287f7e1fbda4bd9caeb5cf467,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-022,poweredOn,False,False,Hard disk 2,2001,6000C29ae32457302ede3051565e040d,[prod-vmfs-02] PRD-APP-022/PRD-APP-022_1.vmdk,102400,False,persistent,sharingNone,False,False,False,False,normal,1000,0,-1,LSI Logic SAS,Hard disk 2,0:1,1,noSharing,[prod-vmfs-02] PRD-APP-022/PRD-APP-022_1.vmdk,,,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1021,42284d8287f7e1fbda4bd9caeb5cf467,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
