VM,Powerstate,Name,Description,Date / time,Filename,Size MiB (vmsn),Size MiB (total),Quiesced,State,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
DEV-SVC-011,poweredOn,CHG0041337 rollback,Created by ops,2026/06/05 09:07:00,[dev-nfs-01] DEV-SVC-011/DEV-SVC-011-Snapshot1.vmsn,30,110000.30689898292,False,poweredOff,,,,,DC-East,Dev-Cluster,esx-dev02.corp.example,Dev,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1230,42530dddc8d0f9e5991965ea98d00c2c,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
DEV-SVC-011,poweredOn,CHG0041337 rollback,Created by ops,2026/06/02 09:21:00,[dev-nfs-01] DEV-SVC-011/DEV-SVC-011-Snapshot1.vmsn,30,25000.108650181763,False,poweredOff,,,,,DC-East,Dev-Cluster,esx-dev02.corp.example,Dev,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1230,42530dddc8d0f9e5991965ea98d00c2c,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
DEV-WEB-024,poweredOn,pre-upgrade,Created by ops,2026/08/23 09:05:00,[dev-nfs-02] DEV-WEB-024/DEV-WEB-024-Snapshot1.vmsn,30,4000.840135348041,False,poweredOff,Owner: app-team,,,,DC-East,Dev-Cluster,esx-dev02.corp.example,Dev,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1243,42b8d498702ba49f18fdd2b979e5c9aa,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
DEV-RDS-032,poweredOn,pre-upgrade,Created by ops,2026/04/04 09:17:00,[dev-nfs-02] DEV-RDS-032/DEV-RDS-032-Snapshot1.vmsn,30,12000.551693073585,False,poweredOff,,,,,DC-East,Dev-Cluster,esx-dev02.corp.example,Dev,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1251,4202740ff3abea0d5be9fdb3dd92dd7c,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
DEV-CTX-060,poweredOn,VEEAM BACKUP TEMPORARY SNAPSHOT,,2026/08/31 18:10:00,[dev-nfs-01] DEV-CTX-060/DEV-CTX-060-Snapshot1.vmsn,30,12000.223839835407,False,poweredOff,Owner: app-team,,,,DC-East,Dev-Cluster,esx-dev03.corp.example,Dev,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1279,422ab8bd911f730bdbff00b07fe670f3,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
DEV-CTX-069,poweredOn,VEEAM BACKUP TEMPORARY SNAPSHOT,,2026/09/01 01:38:00,[dev-nfs-02] DEV-CTX-069/DEV-CTX-069-Snapshot1.vmsn,30,25000.479129082854,False,poweredOff,,,,,DC-East,Dev-Cluster,esx-dev03.corp.example,Dev,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1288,42ed111550a46c85d9d57b0242d04d55,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
DEV-CTX-069,poweredOn,VEEAM BACKUP TEMPORARY SNAPSHOT,,2026/08/29 01:21:00,[dev-nfs-02] DEV-CTX-069/DEV-CTX-069-Snapshot1.vmsn,30,4000.454223197225,False,poweredOff,Owner: app-team,,,,DC-East,Dev-Cluster,esx-dev03.corp.example,Dev,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1288,42ed111550a46c85d9d57b0242d04d55,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
DEV-APP-073,poweredOn,Snapshot 1,Created by ops,2026/08/20 09:17:00,[dev-nfs-02] DEV-APP-073/DEV-APP-073-Snapshot1.vmsn,30,25000.42114065501,False,poweredOff,Owner: app-team,,,,DC-East,Dev-Cluster,esx-dev01.corp.example,Dev,SUSE Linux Enterprise 15 (64-bit),SUSE Linux Enterprise Server 15 SP5,vm-1292,421a16997648776e183fea703ff6579e,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
nsx-mgr-03,poweredOn,pre-upgrade,Created by ops,2026/02/03 08:48:00,[mgmt-vsan] nsx-mgr-03/nsx-mgr-03-Snapshot1.vmsn,30,25000.937121976298,False,poweredOff,Owner: app-team,,,,DC-West,Mgmt-Cluster,esx-mgmt02.corp.example,Mgmt,VMware Photon OS (64-bit),VMware Photon OS 3.0,vm-1313,422a3d41a754a29ff143e5456e6b34b9,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
ad-dc02,poweredOn,pre-upgrade,Created by ops,2026/07/18 08:35:00,[mgmt-vsan] ad-dc02/ad-dc02-Snapshot1.vmsn,30,110000.65932597803,False,poweredOff,,,,,DC-West,Mgmt-Cluster,esx-mgmt02.corp.example,Mgmt,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1315,427daec9d700b4618cb6b0ba925f8199,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
sccm-01,poweredOn,CHG0041337 rollback,Created by ops,2026/08/16 09:01:00,[mgmt-vsan] sccm-01/sccm-01-Snapshot1.vmsn,30,110000.45231180968,False,poweredOff,,,,,DC-West,Mgmt-Cluster,esx-mgmt02.corp.example,Mgmt,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1330,42711456301c8db316db80dba543148e,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
monitor-01,poweredOn,Before patching,Created by ops,2026/08/27 09:03:00,[mgmt-vsan] monitor-01/monitor-01-Snapshot1.vmsn,30,12000.143983774204,False,poweredOff,,,,,DC-West,Mgmt-Cluster,esx-mgmt01.corp.example,Mgmt,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1332,420cf17374d9d1f5087758043fde9814,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
monitor-01,poweredOn,CHG0041337 rollback,Created by ops,2026/08/24 09:04:00,[mgmt-vsan] monitor-01/monitor-01-Snapshot1.vmsn,30,110000.87980502502,False,poweredOff,,,,,DC-West,Mgmt-Cluster,esx-mgmt01.corp.example,Mgmt,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1332,420cf17374d9d1f5087758043fde9814,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
