VM,Powerstate,Template,SRM Placeholder,Disk Key,Disk,Capacity MiB,Consumed MiB,Free MiB,Free %,Internal Sort Column,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
PRD-WEB-007,poweredOn,False,False,2001,D:\,255500,53493,202006,79,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1006,423825675cabcc97663f1c97956269f0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,2000,/,39936,36480,3455,9,0,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1007,4210435a98ae43346c12ace8ae340454,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,2001,/boot,1014,431,582,57,1,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1007,4210435a98ae43346c12ace8ae340454,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,2002,/var,1022976,357380,665595,65,2,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1007,4210435a98ae43346c12ace8ae340454,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-008,poweredOn,False,False,2003,/data,2046976,1049136,997839,49,3,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1007,4210435a98ae43346c12ace8ae340454,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-009,poweredOn,False,False,2000,/,60416,17618,42797,71,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1008,42c039878976e334e2817efdae849217,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-009,poweredOn,False,False,2001,/boot,1014,580,433,43,1,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1008,42c039878976e334e2817efdae849217,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-009,poweredOn,False,False,2002,/var,510976,297094,213881,42,2,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1008,42c039878976e334e2817efdae849217,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-011,poweredOn,False,False,2000,C:\,60940,19146,41793,69,0,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1010,42eb226387c5421eec24a3c5c754108f,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-011,poweredOn,False,False,2001,D:\,511500,301534,209965,41,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1010,42eb226387c5421eec24a3c5c754108f,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-012,poweredOn,False,False,2000,/,39936,8321,31614,79,0,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1011,4214296cf26b4776913e4de2e0c53cb8,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-012,poweredOn,False,False,2001,/boot,1014,264,749,74,1,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1011,4214296cf26b4776913e4de2e0c53cb8,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-013,poweredOn,False,False,2000,C:\,60940,39223,21716,36,0,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1012,426c52c49b49bd26df57c59a8715a103,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-014,poweredOn,False,False,2000,C:\,101900,61386,40513,40,0,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1013,421efa217394988f847fd9b4e64d1bcb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-014,poweredOn,False,False,2001,D:\,767500,378025,389474,51,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1013,421efa217394988f847fd9b4e64d1bcb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-014,poweredOn,False,False,2002,E:\,2047500,1603607,443892,22,2,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1013,421efa217394988f847fd9b4e64d1bcb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-015,poweredOn,False,False,2000,C:\,81420,71780,9639,12,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1014,421141253a9bedd40f1259e0a18ff6b6,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-015,poweredOn,False,False,2001,D:\,255500,73083,182416,71,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1014,421141253a9bedd40f1259e0a18ff6b6,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-016,poweredOn,False,False,2000,C:\,40460,19978,20481,51,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1015,4293829b922fe15ae1e3db63ef7ddc76,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-017,poweredOn,False,False,2000,C:\,60940,24634,36305,60,0,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1016,42baa4b7dd2467ac778eedb3693dffbc,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-018,poweredOn,False,False,2000,/,60416,58858,1557,3,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),vm-1017,426c006f23e2fcb472d8567d894a05e4,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-018,poweredOn,False,False,2001,/boot,1014,344,669,66,1,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),vm-1017,426c006f23e2fcb472d8567d894a05e4,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-019,poweredOn,False,False,2000,/,101376,29326,72049,71,0,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1018,4203c72bd605e7708a63f881ffd0f9d5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-019,poweredOn,False,False,2001,/boot,1014,279,734,72,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1018,4203c72bd605e7708a63f881ffd0f9d5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-020,poweredOn,False,False,2000,C:\,60940,21008,39931,66,0,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1019,4243e45863f2ae24fc3d3348008d4127,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-020,poweredOn,False,False,2001,D:\,1023500,750277,273222,27,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1019,4243e45863f2ae24fc3d3348008d4127,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-021,poweredOn,False,False,2000,/,60416,31380,29035,48,0,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,SUSE Linux Enterprise 15 (64-bit),SUSE Linux Enterprise Server 15 SP5,vm-1020,4237bb3e4bf50b52309d258c27a0c3d7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-021,poweredOn,False,False,2001,/boot,1014,358,655,65,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,SUSE Linux Enterprise 15 (64-bit),SUSE Linux Enterprise Server 15 SP5,vm-1020,4237bb3e4bf50b52309d258c27a0c3d7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-021,poweredOn,False,False,2002,/var,203776,150480,53295,26,2,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,SUSE Linux Enterprise 15 (64-bit),SUSE Linux Enterprise Server 15 SP5,vm-1020,4237bb3e4bf50b52309d258c27a0c3d7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-022,poweredOn,False,False,2000,C:\,81420,18948,62471,77,0,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1021,42284d8287f7e1fbda4bd9caeb5cf467,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-022,poweredOn,False,False,2001,D:\,101900,93914,7985,8,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1021,42284d8287f7e1fbda4bd9caeb5cf467,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-023,poweredOn,False,False,2000,C:\,40460,30458,10001,25,0,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1022,423f07f891d63f78e3e9de99f10c718b,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-023,poweredOn,False,False,2001,D:\,255500,236619,18880,7,1,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1022,423f07f891d63f78e3e9de99f10c718b,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-023,poweredOn,False,False,2002,E:\,204300,90235,114064,56,2,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1022,423f07f891d63f78e3e9de99f10c718b,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-025,poweredOn,False,False,2000,C:\,81420,28009,53410,66,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1024,4219985fff002d4d902059e4ff9ab5c2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-025,poweredOn,False,False,2001,D:\,255500,159917,95582,37,1,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1024,4219985fff002d4d902059e4ff9ab5c2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-026,poweredOn,False,False,2000,/,101376,41818,59557,59,0,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1025,42b41b318b10550cd5704f32702cdd20,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-026,poweredOn,False,False,2001,/boot,1014,362,651,64,1,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1025,42b41b318b10550cd5704f32702cdd20,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-026,poweredOn,False,False,2002,/var,203776,41593,162182,80,2,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1025,42b41b318b10550cd5704f32702cdd20,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-026,poweredOn,False,False,2003,/data,203776,132198,71577,35,3,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1025,42b41b318b10550cd5704f32702cdd20,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-027,poweredOn,False,False,2000,/,39936,14813,25122,63,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1026,421d8cbb43b409ef2260e70fe0ccedc5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-027,poweredOn,False,False,2001,/boot,1014,579,434,43,1,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1026,421d8cbb43b409ef2260e70fe0ccedc5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-028,poweredOn,False,False,2000,C:\,101900,80458,21441,21,0,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1027,4281627c439472e6da587e8aa25d6b29,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-028,poweredOn,False,False,2001,D:\,1023500,391275,632224,62,1,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1027,4281627c439472e6da587e8aa25d6b29,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-029,poweredOn,False,False,2000,C:\,81420,66188,15231,19,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1028,42711c21bdc14f1f295d6fbf430f801d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-029,poweredOn,False,False,2001,D:\,50700,8038,42661,84,1,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1028,42711c21bdc14f1f295d6fbf430f801d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-030,poweredOn,False,False,2000,/,80896,44349,36546,45,0,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1029,428d7248951f58d05e84f058d5a804eb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-030,poweredOn,False,False,2001,/boot,1014,370,643,63,1,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1029,428d7248951f58d05e84f058d5a804eb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-030,poweredOn,False,False,2002,/var,254976,79809,175166,69,2,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1029,428d7248951f58d05e84f058d5a804eb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-031,poweredOn,False,False,2000,/,101376,54556,46819,46,0,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 22.04.4 LTS,vm-1030,428f5486c7b5b2bc5a8aaeca1a50aec3,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-031,poweredOn,False,False,2001,/boot,1014,302,711,70,1,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 22.04.4 LTS,vm-1030,428f5486c7b5b2bc5a8aaeca1a50aec3,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-032,poweredOn,False,False,2000,/,39936,12554,27381,69,0,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1031,42c84a7b550a1b46ecab3301bc8f7d29,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-032,poweredOn,False,False,2001,/boot,1014,500,513,51,1,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1031,42c84a7b550a1b46ecab3301bc8f7d29,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-033,poweredOn,False,False,2000,C:\,101900,86776,15123,15,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1032,4238f16a787f2425dbccc47709e9db0a,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-033,poweredOn,False,False,2001,D:\,511500,423928,87571,17,1,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1032,4238f16a787f2425dbccc47709e9db0a,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-034,poweredOn,False,False,2000,C:\,81420,13265,68154,84,0,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1033,42c5f8bcf7860b5011c58ef0dd463c09,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-034,poweredOn,False,False,2001,D:\,511500,298760,212739,42,1,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1033,42c5f8bcf7860b5011c58ef0dd463c09,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-034,poweredOn,False,False,2002,E:\,1023500,867989,155510,15,2,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1033,42c5f8bcf7860b5011c58ef0dd463c09,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-035,poweredOn,False,False,2000,/,60416,14066,46349,77,0,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1034,4209cb3943f59a85fbc9f87af668a617,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-035,poweredOn,False,False,2001,/boot,1014,344,669,66,1,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1034,4209cb3943f59a85fbc9f87af668a617,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-035,poweredOn,False,False,2002,/var,254976,98851,156124,61,2,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1034,4209cb3943f59a85fbc9f87af668a617,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
