VM,Powerstate,Template,SRM Placeholder,VM Version,Tools,Tools Version,Required Version,Upgradeable,Upgrade Policy,Sync time,App status,Heartbeat status,Kernel Crash state,Operation Ready,State change support,Interactive Guest,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VI SDK Server,VI SDK UUID
PRD-SVC-011,poweredOn,False,False,21,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1010,vm-1010,42eb226387c5421eec24a3c5c754108f,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-012,poweredOn,False,False,21,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1011,vm-1011,4214296cf26b4776913e4de2e0c53cb8,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-013,poweredOn,False,False,10,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1012,vm-1012,426c52c49b49bd26df57c59a8715a103,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-014,poweredOn,False,False,20,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1013,vm-1013,421efa217394988f847fd9b4e64d1bcb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-015,poweredOn,False,False,11,toolsOld,11333,12352,Yes,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1014,vm-1014,421141253a9bedd40f1259e0a18ff6b6,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-016,poweredOn,False,False,19,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1015,vm-1015,4293829b922fe15ae1e3db63ef7ddc76,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-017,poweredOn,False,False,21,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1016,vm-1016,42baa4b7dd2467ac778eedb3693dffbc,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-018,poweredOn,False,False,20,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),vm-1017,vm-1017,426c006f23e2fcb472d8567d894a05e4,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-019,poweredOn,False,False,10,toolsOld,11269,12352,Yes,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1018,vm-1018,4203c72bd605e7708a63f881ffd0f9d5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-020,poweredOn,False,False,11,toolsNotInstalled,0,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1019,vm-1019,4243e45863f2ae24fc3d3348008d4127,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-021,poweredOn,False,False,10,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,SUSE Linux Enterprise 15 (64-bit),SUSE Linux Enterprise Server 15 SP5,vm-1020,vm-1020,4237bb3e4bf50b52309d258c27a0c3d7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-022,poweredOn,False,False,21,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1021,vm-1021,42284d8287f7e1fbda4bd9caeb5cf467,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-023,poweredOn,False,False,17,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1022,vm-1022,423f07f891d63f78e3e9de99f10c718b,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-024,poweredOff,False,False,20,toolsNotRunning,12320,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,False,True,False,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),,vm-1023,vm-1023,42506e5ab758588dab73295b344a54b8,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-025,poweredOn,False,False,21,toolsNotRunning,12320,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1024,vm-1024,4219985fff002d4d902059e4ff9ab5c2,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-026,poweredOn,False,False,20,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1025,vm-1025,42b41b318b10550cd5704f32702cdd20,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-027,poweredOn,False,False,11,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9.2 (Plow),vm-1026,vm-1026,421d8cbb43b409ef2260e70fe0ccedc5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-028,poweredOn,False,False,19,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1027,vm-1027,4281627c439472e6da587e8aa25d6b29,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-029,poweredOn,False,False,17,toolsOld,10346,12352,Yes,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1028,vm-1028,42711c21bdc14f1f295d6fbf430f801d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-030,poweredOn,False,False,20,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1029,vm-1029,428d7248951f58d05e84f058d5a804eb,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-031,poweredOn,False,False,11,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 22.04.4 LTS,vm-1030,vm-1030,428f5486c7b5b2bc5a8aaeca1a50aec3,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-032,poweredOn,False,False,11,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,CentOS 7 (64-bit),CentOS Linux 7 (Core),vm-1031,vm-1031,42c84a7b550a1b46ecab3301bc8f7d29,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-033,poweredOn,False,False,20,toolsOld,11333,12352,Yes,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1032,vm-1032,4238f16a787f2425dbccc47709e9db0a,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-034,poweredOn,False,False,20,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1033,vm-1033,42c5f8bcf7860b5011c58ef0dd463c09,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-035,poweredOn,False,False,20,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1034,vm-1034,4209cb3943f59a85fbc9f87af668a617,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-036,poweredOn,False,False,14,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1035,vm-1035,420b5cea41357e8c30a900ad939b462d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-037,poweredOn,False,False,11,toolsOld,11269,12352,Yes,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),vm-1036,vm-1036,42aa0b7bf2e9702d11e9cdaa6e6981a3,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-038,poweredOn,False,False,17,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 22.04.4 LTS,vm-1037,vm-1037,424bb00fb27c40266703b6365380b904,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-039,poweredOn,False,False,20,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),vm-1038,vm-1038,42001a9ad56f03508c459ce267f48ad5,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-040,poweredOn,False,False,11,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1039,vm-1039,42cb323e7922bac282dc4c8e36b5229a,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-041,poweredOn,False,False,14,toolsNotRunning,12320,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1040,vm-1040,423c2059c04a96c4f3b63fe1d1843324,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-042,poweredOn,False,False,17,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1041,vm-1041,42e2d9de6a18ce4c7496276412a4def0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-043,poweredOn,False,False,11,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1042,vm-1042,42c521bfdc45d539c03f3538e4855aa1,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-044,poweredOn,False,False,13,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1043,vm-1043,4222228274daaebf1f115b76d92c9227,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-045,poweredOn,False,False,11,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1044,vm-1044,42d4a02e6d3ee1dc81392443e45b712e,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-046,poweredOn,False,False,20,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1045,vm-1045,42a072957c0e8cd88573e793c715b2b9,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-047,poweredOn,False,False,20,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1046,vm-1046,42b1a6b1620e99d33b33f3d8269cd696,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-048,poweredOn,False,False,17,toolsOld,11333,12352,Yes,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1047,vm-1047,42c51155e7a37e8163b4c08b6b8e869f,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-049,poweredOn,False,False,19,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1048,vm-1048,42d5f250f41402b1e4429ebbda7b9095,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-050,poweredOn,False,False,13,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 Standard,vm-1049,vm-1049,42addc3eab3b4d37560c95ee638c254c,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-051,poweredOff,False,False,21,toolsNotRunning,12320,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,False,True,False,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows 10 (64-bit),,vm-1050,vm-1050,4206f028a9ba5a27907bfe36978648f8,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-052,poweredOn,False,False,20,toolsOld,11269,12352,Yes,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1051,vm-1051,42e13016c2dff33556666f9f53ac2ab9,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-053,suspended,False,False,14,toolsNotRunning,12320,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,False,True,False,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),,vm-1052,vm-1052,421190f9a66fd7f739669fa759970043,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-054,poweredOn,False,False,17,toolsNotInstalled,0,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1053,vm-1053,421d48a0ab61a7b1793b4c3220500494,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-055,poweredOn,False,False,17,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,vm-1054,vm-1054,421bac5c4fa03f26f6f7f0cc29ec8e49,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-056,poweredOn,False,False,14,toolsOk,12352,12352,No,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Ubuntu Linux (64-bit),Ubuntu 18.04.6 LTS,vm-1055,vm-1055,421a16343e2b6091a092f52ad4a057a7,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-057,poweredOn,False,False,20,toolsOld,10346,12352,Yes,upgradeAtPowerCycle,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),vm-1056,vm-1056,42a5c5658186a57611a726095eddbbbf,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-058,poweredOn,False,False,20,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1057,vm-1057,42a68460f7294951859131d2bbda0242,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-059,poweredOn,False,False,21,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Prod,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,vm-1058,vm-1058,42ef4361d4aac9a33ed8c56cda09dfa0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-060,poweredOn,False,False,20,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,vm-1059,vm-1059,427cd0122e8d0e87533420e6d9d80b8d,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-061,poweredOn,False,False,14,toolsOk,12352,12352,No,manual,False,appStatusGray,appStatusGray,,True,True,False,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Prod,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 Enterprise,vm-1060,vm-1060,423dc98215eabb2730e912f2f2b43abf,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
